"","AttempterHL ","AttempterLL ","  control   "," depression ","  ideator   ","p.overall"," N "
"","    N=23    ","    N=26    ","    N=35    ","    N=33    ","    N=32    ","         ","   "
"EDUCATION"," 14.0 (3.1) "," 14.2 (2.8) "," 15.7 (2.7) "," 15.1 (2.6) "," 15.3 (2.2) ","  0.076  ","149"
"GENDERTEXT:","            ","            ","            ","            ","            ","  0.026  ","149"
"    FEMALE"," 6 (26.1%)  "," 18 (69.2%) "," 21 (60.0%) "," 16 (48.5%) "," 14 (43.8%) ","         ","   "
"    MALE"," 17 (73.9%) "," 8 (30.8%)  "," 14 (40.0%) "," 17 (51.5%) "," 18 (56.2%) ","         ","   "
"PROTECT2AGE"," 64.0 (9.1) "," 60.8 (7.7) "," 63.5 (8.7) "," 63.0 (7.8) "," 60.4 (6.0) ","  0.310  ","149"
"RACETEXT:","            ","            ","            ","            ","            ","  0.026  ","149"
"    AFRICAN AMERICAN","  0 (0.0%)  "," 7 (26.9%)  "," 4 (11.4%)  "," 8 (24.2%)  ","  2 (6.2%)  ","         ","   "
"    ASIAN","  1 (4.3%)  ","  0 (0.0%)  ","  0 (0.0%)  ","  1 (3.0%)  ","  1 (3.1%)  ","         ","   "
"    MORE THAN ONE RACE","  0 (0.0%)  ","  0 (0.0%)  ","  0 (0.0%)  ","  0 (0.0%)  ","  1 (3.1%)  ","         ","   "
"    WHITE"," 22 (95.7%) "," 19 (73.1%) "," 31 (88.6%) "," 24 (72.7%) "," 28 (87.5%) ","         ","   "
"MMSETOTAL"," 28.5 (1.8) "," 28.3 (1.7) "," 28.9 (1.1) "," 29.0 (1.0) "," 29.0 (1.4) ","  0.257  ","149"
"WTARSS","102.5 (16.2)","102.5 (16.2)","107.6 (11.5)","107.2 (14.1)","110.8 (12.7)","  0.133  ","144"
"WTARRAW","34.4 (10.8) ","34.3 (10.9) "," 37.8 (7.8) "," 37.4 (9.3) "," 39.8 (8.5) ","  0.142  ","144"
"DRS","135.3 (4.8) ","135.1 (4.8) ","138.2 (3.4) ","135.8 (5.1) ","137.2 (3.9) ","  0.027  ","143"
"EXIT"," 7.4 (3.5)  "," 6.7 (2.8)  "," 4.9 (2.7)  "," 5.1 (3.1)  "," 5.7 (2.8)  ","  0.012  ","144"
"BIS_NONPLAN"," 20.2 (8.5) "," 22.7 (7.3) "," 11.5 (5.2) "," 19.3 (7.0) "," 19.1 (7.5) "," <0.001  ","142"
"Nurgency"," 28.0 (7.7) "," 29.5 (7.7) "," 18.0 (4.3) "," 24.9 (6.9) "," 27.0 (7.7) "," <0.001  ","140"
"Purgency","25.9 (11.7) "," 24.8 (8.8) "," 16.5 (4.0) "," 21.2 (6.7) "," 22.8 (7.6) "," <0.001  ","140"
"IIP15INTAMBV"," 6.1 (5.6)  "," 5.9 (5.1)  "," 2.9 (3.7)  "," 4.4 (3.5)  "," 6.6 (4.8)  ","  0.010  ","142"
"SSI.BL.CURRENT"," 23.4 (7.3) "," 19.3 (7.4) "," 0.0 (0.0)  "," 0.5 (1.5)  "," 15.4 (5.7) "," <0.001  ","149"
"IIP15INTSEN"," 8.4 (4.6)  "," 7.7 (4.5)  "," 3.2 (3.1)  "," 6.5 (4.3)  "," 8.4 (5.4)  "," <0.001  ","142"
"IIP15AGRESS"," 5.0 (4.4)  "," 2.9 (2.6)  "," 1.6 (2.5)  "," 4.5 (3.3)  "," 5.2 (4.2)  "," <0.001  ","142"
