"","Estimate","Std. Error","z value","Pr(>|z|)"
"(Intercept)",1.47,0.36,4.05,0
"ReappraisalDirectionempathy",1.14,0.3,3.8,0
"ReappraisalDirectionpunish",-1.68,0.28,-5.93,0
"scale(fairLR)",2.03,0.09,23.57,0
"scale(totalStake)",0.03,0.06,0.53,0.59
"group4Control",-0.02,1.75,-0.01,0.99
"group4Depression",0.44,0.54,0.83,0.41
"group4Ideator",0.25,0.56,0.45,0.65
"scale(EDUCATION)",0.61,0.33,1.86,0.06
"scale(IncomePerCapita)",-1.03,0.49,-2.11,0.03
"scale(HRSD_NO_SUI)",-0.3,0.31,-0.97,0.33
"scale(DRS)",0.27,0.32,0.85,0.4
"ReappraisalDirectionempathy:scale(fairLR)",-1.21,0.1,-12.5,0
"ReappraisalDirectionpunish:scale(fairLR)",-1.22,0.09,-13.95,0
"ReappraisalDirectionempathy:scale(totalStake)",0.07,0.08,0.91,0.36
"ReappraisalDirectionpunish:scale(totalStake)",0.17,0.07,2.4,0.02
"scale(fairLR):scale(totalStake)",-0.12,0.06,-1.88,0.06
"ReappraisalDirectionempathy:group4Control",3.28,1.5,2.19,0.03
"ReappraisalDirectionpunish:group4Control",1.99,1.4,1.42,0.15
"ReappraisalDirectionempathy:group4Depression",0.35,0.47,0.74,0.46
"ReappraisalDirectionpunish:group4Depression",-0.12,0.42,-0.3,0.77
"ReappraisalDirectionempathy:group4Ideator",1.47,0.53,2.77,0.01
"ReappraisalDirectionpunish:group4Ideator",0.13,0.44,0.29,0.77
"scale(fairLR):group4Control",0.1,0.09,1.17,0.24
"scale(fairLR):group4Depression",-0.19,0.09,-2.15,0.03
"scale(fairLR):group4Ideator",0.13,0.09,1.38,0.17
"scale(totalStake):group4Control",-0.13,0.08,-1.68,0.09
"scale(totalStake):group4Depression",-0.09,0.08,-1.1,0.27
"scale(totalStake):group4Ideator",-0.03,0.08,-0.4,0.69
"group4Control:scale(EDUCATION)",0.13,0.61,0.22,0.83
"group4Depression:scale(EDUCATION)",-1.75,0.53,-3.29,0
"group4Ideator:scale(EDUCATION)",-1.59,0.55,-2.89,0
"ReappraisalDirectionempathy:scale(EDUCATION)",-0.03,0.27,-0.12,0.91
"ReappraisalDirectionpunish:scale(EDUCATION)",-0.31,0.25,-1.22,0.22
"group4Control:scale(IncomePerCapita)",0.67,0.65,1.02,0.31
"group4Depression:scale(IncomePerCapita)",1.63,0.67,2.41,0.02
"group4Ideator:scale(IncomePerCapita)",1.19,0.61,1.96,0.05
"ReappraisalDirectionempathy:scale(IncomePerCapita)",0.88,0.39,2.26,0.02
"ReappraisalDirectionpunish:scale(IncomePerCapita)",0.74,0.38,1.96,0.05
"group4Control:scale(HRSD_NO_SUI)",0.5,1.36,0.37,0.71
"group4Depression:scale(HRSD_NO_SUI)",1.94,0.7,2.8,0.01
"group4Ideator:scale(HRSD_NO_SUI)",0.91,0.57,1.61,0.11
"ReappraisalDirectionempathy:scale(HRSD_NO_SUI)",0.33,0.25,1.36,0.17
"ReappraisalDirectionpunish:scale(HRSD_NO_SUI)",0.02,0.24,0.07,0.95
"group4Control:scale(DRS)",-0.04,0.61,-0.07,0.94
"group4Depression:scale(DRS)",-0.66,0.49,-1.35,0.18
"group4Ideator:scale(DRS)",-0.54,0.54,-1,0.32
"ReappraisalDirectionempathy:scale(DRS)",0.18,0.26,0.71,0.48
"ReappraisalDirectionpunish:scale(DRS)",-0.2,0.25,-0.81,0.42
"ReappraisalDirectionempathy:scale(fairLR):scale(totalStake)",0.13,0.09,1.51,0.13
"ReappraisalDirectionpunish:scale(fairLR):scale(totalStake)",0.05,0.08,0.7,0.48
"ReappraisalDirectionempathy:group4Control:scale(EDUCATION)",0,0.52,0,1
"ReappraisalDirectionpunish:group4Control:scale(EDUCATION)",0.53,0.49,1.08,0.28
"ReappraisalDirectionempathy:group4Depression:scale(EDUCATION)",-0.23,0.46,-0.5,0.62
"ReappraisalDirectionpunish:group4Depression:scale(EDUCATION)",1,0.42,2.37,0.02
"ReappraisalDirectionempathy:group4Ideator:scale(EDUCATION)",0.29,0.47,0.61,0.54
"ReappraisalDirectionpunish:group4Ideator:scale(EDUCATION)",0.86,0.43,1.99,0.05
"ReappraisalDirectionempathy:group4Control:scale(IncomePerCapita)",-0.88,0.53,-1.65,0.1
"ReappraisalDirectionpunish:group4Control:scale(IncomePerCapita)",-0.93,0.51,-1.84,0.07
"ReappraisalDirectionempathy:group4Depression:scale(IncomePerCapita)",-1.1,0.6,-1.84,0.07
"ReappraisalDirectionpunish:group4Depression:scale(IncomePerCapita)",-1.16,0.53,-2.18,0.03
"ReappraisalDirectionempathy:group4Ideator:scale(IncomePerCapita)",-1.15,0.52,-2.24,0.03
"ReappraisalDirectionpunish:group4Ideator:scale(IncomePerCapita)",-0.8,0.48,-1.65,0.1
"ReappraisalDirectionempathy:group4Control:scale(HRSD_NO_SUI)",1.86,1.15,1.62,0.11
"ReappraisalDirectionpunish:group4Control:scale(HRSD_NO_SUI)",1.29,1.08,1.19,0.23
"ReappraisalDirectionempathy:group4Depression:scale(HRSD_NO_SUI)",-1.68,0.59,-2.85,0
"ReappraisalDirectionpunish:group4Depression:scale(HRSD_NO_SUI)",-0.62,0.55,-1.12,0.26
"ReappraisalDirectionempathy:group4Ideator:scale(HRSD_NO_SUI)",-1.57,0.49,-3.22,0
"ReappraisalDirectionpunish:group4Ideator:scale(HRSD_NO_SUI)",-0.9,0.44,-2.05,0.04
"ReappraisalDirectionempathy:group4Control:scale(DRS)",0.17,0.5,0.34,0.73
