,Estimate,Std. Error,z value,Pr(>|z|),,
(Intercept),1.651,0.311,5.303,0.000,***,
ReappraisalDirectionempathy,1.096,0.261,4.202,0.000,***,
ReappraisalDirectionpunish,-1.926,0.245,-7.868,0.000,***,
scale(fairLR),2.114,0.090,23.438,0.000,***,
scale(totalStake),0.027,0.065,0.420,0.675,,
group4Control,-0.365,0.476,-0.768,0.443,,
group4Depression,0.563,0.480,1.175,0.240,,
group4Ideator,0.302,0.486,0.622,0.534,,
scale(EDUCATION),0.587,0.280,2.100,0.036,**,
ReappraisalDirectionempathy:scale(fairLR),-1.273,0.099,-12.882,0.000,***,
ReappraisalDirectionpunish:scale(fairLR),-1.267,0.090,-14.116,0.000,***,
ReappraisalDirectionempathy:scale(totalStake),0.078,0.078,1.008,0.314,,
ReappraisalDirectionpunish:scale(totalStake),0.190,0.069,2.755,0.006,**,
scale(fairLR):scale(totalStake),-0.136,0.061,-2.244,0.025,**,
ReappraisalDirectionempathy:group4Control,0.657,0.395,1.663,0.096,*,marginal
ReappraisalDirectionpunish:group4Control,0.355,0.372,0.954,0.340,,
ReappraisalDirectionempathy:group4Depression,-0.156,0.407,-0.383,0.702,,
ReappraisalDirectionpunish:group4Depression,0.026,0.378,0.069,0.945,,
ReappraisalDirectionempathy:group4Ideator,0.513,0.415,1.237,0.216,,
ReappraisalDirectionpunish:group4Ideator,-0.028,0.382,-0.073,0.942,,
scale(fairLR):group4Control,0.078,0.089,0.879,0.380,,
scale(fairLR):group4Depression,-0.161,0.086,-1.871,0.061,*,
scale(fairLR):group4Ideator,0.120,0.093,1.289,0.197,,
scale(totalStake):group4Control,-0.147,0.077,-1.904,0.057,*,
scale(totalStake):group4Depression,-0.086,0.077,-1.116,0.264,,
scale(totalStake):group4Ideator,-0.060,0.080,-0.754,0.451,,
ReappraisalDirectionempathy:scale(EDUCATION),0.296,0.233,1.269,0.205,,
ReappraisalDirectionpunish:scale(EDUCATION),-0.323,0.220,-1.470,0.141,,
group4Control:scale(EDUCATION),0.073,0.463,0.158,0.875,,
group4Depression:scale(EDUCATION),-1.647,0.481,-3.424,0.001,***,
group4Ideator:scale(EDUCATION),-1.578,0.533,-2.961,0.003,***,
ReappraisalDirectionempathy:scale(fairLR):scale(totalStake),0.155,0.086,1.809,0.070,*,
ReappraisalDirectionpunish:scale(fairLR):scale(totalStake),0.071,0.076,0.931,0.352,,
ReappraisalDirectionempathy:group4Control:scale(EDUCATION),-0.382,0.404,-0.946,0.344,,
ReappraisalDirectionpunish:group4Control:scale(EDUCATION),0.146,0.371,0.394,0.694,,
ReappraisalDirectionempathy:group4Depression:scale(EDUCATION),-0.517,0.411,-1.257,0.209,,
ReappraisalDirectionpunish:group4Depression:scale(EDUCATION),1.050,0.380,2.759,0.006,***,
ReappraisalDirectionempathy:group4Ideator:scale(EDUCATION),-0.078,0.450,-0.174,0.862,,
ReappraisalDirectionpunish:group4Ideator:scale(EDUCATION),0.831,0.418,1.989,0.047,**,
