,Estimate,Std. Error,z value,Pr(>|z|),
(Intercept),1.55,0.34,4.56,0.00,***
ReappraisalDirectionempathy,0.70,0.26,2.66,0.01,***
ReappraisalDirectionpunish,-1.88,0.25,-7.40,0.00,***
scale(fairLR),2.02,0.09,23.57,0.00,***
scale(totalStake),0.04,0.06,0.59,0.56,
group4Control,-1.28,0.75,-1.69,0.09,
group4Depression,0.53,0.53,1.01,0.31,
group4Ideator,0.07,0.53,0.13,0.90,
scale(IRI_affEmpathy),-0.28,0.31,-0.90,0.37,
scale(BIS_NONPLAN),-0.24,0.31,-0.78,0.43,
ReappraisalDirectionempathy:scale(fairLR),-1.24,0.10,-13.00,0.00,***
ReappraisalDirectionpunish:scale(fairLR),-1.20,0.09,-13.68,0.00,***
ReappraisalDirectionempathy:scale(totalStake),0.07,0.08,0.88,0.38,
ReappraisalDirectionpunish:scale(totalStake),0.16,0.07,2.28,0.02,**
scale(fairLR):scale(totalStake),-0.13,0.06,-2.16,0.03,**
ReappraisalDirectionempathy:group4Control,2.12,0.60,3.55,0.00,***
ReappraisalDirectionpunish:group4Control,0.56,0.56,1.00,0.32,
ReappraisalDirectionempathy:group4Depression,0.27,0.42,0.64,0.52,
ReappraisalDirectionpunish:group4Depression,0.13,0.40,0.32,0.75,
ReappraisalDirectionempathy:group4Ideator,0.89,0.42,2.14,0.03,**
ReappraisalDirectionpunish:group4Ideator,0.28,0.40,0.70,0.48,
scale(fairLR):group4Control,0.20,0.09,2.21,0.03,**
scale(fairLR):group4Depression,-0.14,0.09,-1.62,0.11,
scale(fairLR):group4Ideator,0.20,0.10,2.08,0.04,**
scale(totalStake):group4Control,-0.16,0.08,-2.02,0.04,**
scale(totalStake):group4Depression,-0.08,0.08,-1.04,0.30,
scale(totalStake):group4Ideator,-0.09,0.08,-1.14,0.26,
group4Control:scale(IRI_affEmpathy),0.45,0.56,0.80,0.42,
group4Depression:scale(IRI_affEmpathy),0.39,0.58,0.67,0.50,
group4Ideator:scale(IRI_affEmpathy),-0.06,0.44,-0.14,0.89,
ReappraisalDirectionempathy:scale(IRI_affEmpathy),0.15,0.23,0.65,0.52,
ReappraisalDirectionpunish:scale(IRI_affEmpathy),0.15,0.23,0.65,0.52,
group4Control:scale(BIS_NONPLAN),-0.88,0.67,-1.32,0.19,
group4Depression:scale(BIS_NONPLAN),-0.11,0.53,-0.21,0.83,
group4Ideator:scale(BIS_NONPLAN),0.01,0.52,0.02,0.99,
ReappraisalDirectionempathy:scale(BIS_NONPLAN),0.27,0.24,1.13,0.26,
ReappraisalDirectionpunish:scale(BIS_NONPLAN),0.25,0.23,1.09,0.28,
ReappraisalDirectionempathy:scale(fairLR):scale(totalStake),0.16,0.09,1.81,0.07,*
ReappraisalDirectionpunish:scale(fairLR):scale(totalStake),0.08,0.08,1.07,0.28,
ReappraisalDirectionempathy:group4Control:scale(IRI_affEmpathy),0.44,0.43,1.03,0.31,
ReappraisalDirectionpunish:group4Control:scale(IRI_affEmpathy),-0.50,0.41,-1.22,0.22,
ReappraisalDirectionempathy:group4Depression:scale(IRI_affEmpathy),0.79,0.46,1.72,0.09,*
ReappraisalDirectionpunish:group4Depression:scale(IRI_affEmpathy),0.00,0.44,0.00,1.00,
ReappraisalDirectionempathy:group4Ideator:scale(IRI_affEmpathy),0.18,0.35,0.51,0.61,
ReappraisalDirectionpunish:group4Ideator:scale(IRI_affEmpathy),-0.31,0.33,-0.94,0.35,
ReappraisalDirectionempathy:group4Control:scale(BIS_NONPLAN),0.63,0.53,1.18,0.24,
ReappraisalDirectionpunish:group4Control:scale(BIS_NONPLAN),0.12,0.50,0.25,0.81,
ReappraisalDirectionempathy:group4Depression:scale(BIS_NONPLAN),0.75,0.42,1.78,0.07,*
ReappraisalDirectionpunish:group4Depression:scale(BIS_NONPLAN),0.28,0.40,0.72,0.48,
ReappraisalDirectionempathy:group4Ideator:scale(BIS_NONPLAN),0.05,0.42,0.11,0.91,
ReappraisalDirectionpunish:group4Ideator:scale(BIS_NONPLAN),-0.20,0.40,-0.51,0.61,
