,Estimate,Std. Error,z value,Pr(>|z|),
(Intercept),1.51,0.33,4.58,0.00,***
ReappraisalDirectionempathy,0.73,0.25,2.86,0.00,***
ReappraisalDirectionpunish,-1.84,0.25,-7.49,0.00,***
scale(fairLR),2.02,0.09,23.59,0.00,***
scale(totalStake),0.04,0.06,0.59,0.56,
group4Control,-1.24,0.73,-1.70,0.09,*
group4Depression,0.59,0.52,1.13,0.26,
group4Ideator,0.12,0.52,0.24,0.81,
scale(IRI_affEmpathy),-0.27,0.31,-0.89,0.37,
scale(BIS_TOTAL),-0.17,0.28,-0.59,0.55,
ReappraisalDirectionempathy:scale(fairLR),-1.25,0.10,-13.04,0.00,***
ReappraisalDirectionpunish:scale(fairLR),-1.20,0.09,-13.68,0.00,***
ReappraisalDirectionempathy:scale(totalStake),0.07,0.08,0.88,0.38,
ReappraisalDirectionpunish:scale(totalStake),0.16,0.07,2.28,0.02,**
scale(fairLR):scale(totalStake),-0.13,0.06,-2.17,0.03,**
ReappraisalDirectionempathy:group4Control,2.19,0.59,3.70,0.00,***
ReappraisalDirectionpunish:group4Control,0.62,0.55,1.13,0.26,
ReappraisalDirectionempathy:group4Depression,0.20,0.42,0.48,0.63,
ReappraisalDirectionpunish:group4Depression,0.06,0.39,0.14,0.89,
ReappraisalDirectionempathy:group4Ideator,0.88,0.41,2.12,0.03,**
ReappraisalDirectionpunish:group4Ideator,0.26,0.40,0.65,0.51,
scale(fairLR):group4Control,0.20,0.09,2.21,0.03,**
scale(fairLR):group4Depression,-0.14,0.09,-1.66,0.10,
scale(fairLR):group4Ideator,0.20,0.10,2.07,0.04,**
scale(totalStake):group4Control,-0.16,0.08,-2.03,0.04,**
scale(totalStake):group4Depression,-0.08,0.08,-1.04,0.30,**
scale(totalStake):group4Ideator,-0.09,0.08,-1.14,0.26,
group4Control:scale(IRI_affEmpathy),0.61,0.55,1.11,0.27,
group4Depression:scale(IRI_affEmpathy),0.44,0.58,0.76,0.45,
group4Ideator:scale(IRI_affEmpathy),0.05,0.46,0.12,0.91,
ReappraisalDirectionempathy:scale(IRI_affEmpathy),0.15,0.23,0.64,0.53,
ReappraisalDirectionpunish:scale(IRI_affEmpathy),0.14,0.23,0.63,0.53,
group4Control:scale(BIS_TOTAL),-1.11,0.70,-1.58,0.12,
group4Depression:scale(BIS_TOTAL),-0.14,0.48,-0.28,0.78,
group4Ideator:scale(BIS_TOTAL),-0.28,0.64,-0.45,0.65,
ReappraisalDirectionempathy:scale(BIS_TOTAL),0.24,0.22,1.10,0.27,
ReappraisalDirectionpunish:scale(BIS_TOTAL),0.19,0.21,0.93,0.35,
ReappraisalDirectionempathy:scale(fairLR):scale(totalStake),0.16,0.09,1.81,0.07,*
ReappraisalDirectionpunish:scale(fairLR):scale(totalStake),0.08,0.08,1.08,0.28,
ReappraisalDirectionempathy:group4Control:scale(IRI_affEmpathy),0.33,0.42,0.78,0.44,
ReappraisalDirectionpunish:group4Control:scale(IRI_affEmpathy),-0.54,0.41,-1.33,0.18,
ReappraisalDirectionempathy:group4Depression:scale(IRI_affEmpathy),0.66,0.46,1.44,0.15,
ReappraisalDirectionpunish:group4Depression:scale(IRI_affEmpathy),-0.08,0.43,-0.19,0.85,
ReappraisalDirectionempathy:group4Ideator:scale(IRI_affEmpathy),0.13,0.36,0.35,0.73,
ReappraisalDirectionpunish:group4Ideator:scale(IRI_affEmpathy),-0.29,0.34,-0.86,0.39,
ReappraisalDirectionempathy:group4Control:scale(BIS_TOTAL),0.90,0.57,1.57,0.12,
ReappraisalDirectionpunish:group4Control:scale(BIS_TOTAL),0.36,0.53,0.67,0.50,
ReappraisalDirectionempathy:group4Depression:scale(BIS_TOTAL),0.60,0.38,1.57,0.12,
ReappraisalDirectionpunish:group4Depression:scale(BIS_TOTAL),0.35,0.36,0.96,0.34,
ReappraisalDirectionempathy:group4Ideator:scale(BIS_TOTAL),-0.04,0.53,-0.07,0.94,
ReappraisalDirectionpunish:group4Ideator:scale(BIS_TOTAL),-0.25,0.49,-0.51,0.61,
