,Estimate,Std. Error,z value,Pr(>|z|),
(Intercept),1.455,0.315,4.620,0.000,
ReappraisalDirectionempathy,0.845,0.242,3.489,0.000,
ReappraisalDirectionpunish,-1.780,0.233,-7.642,0.000,
scale(fairLR),1.998,0.085,23.578,0.000,
scale(totalStake),0.040,0.064,0.624,0.533,
group4Control,-0.213,0.549,-0.387,0.699,
group4Depression,0.499,0.495,1.009,0.313,
group4Ideator,0.209,0.516,0.404,0.686,
scale(IRI_PERSONAL_DISTRESS),-0.348,0.311,-1.119,0.263,
ReappraisalDirectionempathy:scale(fairLR),-1.220,0.094,-12.937,0.000,
ReappraisalDirectionpunish:scale(fairLR),-1.166,0.086,-13.497,0.000,
ReappraisalDirectionempathy:scale(totalStake),0.065,0.077,0.852,0.394,
ReappraisalDirectionpunish:scale(totalStake),0.155,0.069,2.234,0.025,
scale(fairLR):scale(totalStake),-0.127,0.061,-2.091,0.037,
ReappraisalDirectionempathy:group4Control,1.078,0.433,2.489,0.013,
ReappraisalDirectionpunish:group4Control,0.142,0.407,0.350,0.727,
ReappraisalDirectionempathy:group4Depression,0.013,0.388,0.034,0.973,
ReappraisalDirectionpunish:group4Depression,0.097,0.368,0.262,0.793,
ReappraisalDirectionempathy:group4Ideator,0.735,0.406,1.813,0.070,
ReappraisalDirectionpunish:group4Ideator,0.181,0.386,0.468,0.640,
scale(fairLR):group4Control,0.143,0.089,1.600,0.110,
scale(fairLR):group4Depression,-0.143,0.086,-1.669,0.095,
scale(fairLR):group4Ideator,0.205,0.096,2.139,0.032,
scale(totalStake):group4Control,-0.145,0.077,-1.883,0.060,
scale(totalStake):group4Depression,-0.079,0.077,-1.032,0.302,
scale(totalStake):group4Ideator,-0.093,0.082,-1.132,0.258,
group4Control:scale(IRI_PERSONAL_DISTRESS),0.492,0.586,0.840,0.401,
group4Depression:scale(IRI_PERSONAL_DISTRESS),-0.239,0.575,-0.416,0.677,
group4Ideator:scale(IRI_PERSONAL_DISTRESS),-0.169,0.445,-0.380,0.704,
ReappraisalDirectionempathy:scale(IRI_PERSONAL_DISTRESS),0.081,0.235,0.346,0.729,
ReappraisalDirectionpunish:scale(IRI_PERSONAL_DISTRESS),0.221,0.227,0.972,0.331,
ReappraisalDirectionempathy:scale(fairLR):scale(totalStake),0.147,0.085,1.720,0.085,
ReappraisalDirectionpunish:scale(fairLR):scale(totalStake),0.079,0.077,1.022,0.307,
ReappraisalDirectionempathy:group4Control:scale(IRI_PERSONAL_DISTRESS),0.129,0.455,0.282,0.778,
ReappraisalDirectionpunish:group4Control:scale(IRI_PERSONAL_DISTRESS),-0.655,0.428,-1.529,0.126,
ReappraisalDirectionempathy:group4Depression:scale(IRI_PERSONAL_DISTRESS),1.097,0.455,2.412,0.016,**
ReappraisalDirectionpunish:group4Depression:scale(IRI_PERSONAL_DISTRESS),0.224,0.430,0.521,0.602,
ReappraisalDirectionempathy:group4Ideator:scale(IRI_PERSONAL_DISTRESS),0.356,0.344,1.033,0.301,
ReappraisalDirectionpunish:group4Ideator:scale(IRI_PERSONAL_DISTRESS),-0.366,0.328,-1.115,0.265,
