,Estimate,Std. Error,z value,Pr(>|z|),
(Intercept),1.363,0.307,4.441,< .001,***
ReappraisalDirectionempathy,0.85,0.235,3.609,< .001,***
ReappraisalDirectionpunish,-1.716,0.228,-7.515,< .001,***
scale(fairLR),1.998,0.085,23.597,< .001,***
scale(totalStake),0.041,0.064,0.642,0.521,
group4Control,-0.225,0.482,-0.468,0.64,
group4Depression,0.773,0.499,1.55,0.121,
group4Ideator,0.157,0.502,0.313,0.754,
scale(IRI_EMPATHETIC_CONCERN),0.011,0.323,0.035,0.972,
ReappraisalDirectionempathy:scale(fairLR),-1.217,0.094,-12.908,< .001,***
ReappraisalDirectionpunish:scale(fairLR),-1.168,0.086,-13.54,< .001,***
ReappraisalDirectionempathy:scale(totalStake),0.064,0.077,0.83,0.407,
ReappraisalDirectionpunish:scale(totalStake),0.154,0.069,2.229,0.026,**
scale(fairLR):scale(totalStake),-0.127,0.061,-2.086,0.037,**
ReappraisalDirectionempathy:group4Control,0.989,0.377,2.624,0.009,***
ReappraisalDirectionpunish:group4Control,0.328,0.359,0.916,0.36,
ReappraisalDirectionempathy:group4Depression,-0.242,0.391,-0.619,0.536,
ReappraisalDirectionpunish:group4Depression,-0.045,0.375,-0.121,0.903,
ReappraisalDirectionempathy:group4Ideator,0.851,0.395,2.156,0.031,**
ReappraisalDirectionpunish:group4Ideator,0.081,0.376,0.215,0.83,
scale(fairLR):group4Control,0.144,0.089,1.618,0.106,
scale(fairLR):group4Depression,-0.146,0.085,-1.716,0.086,*
scale(fairLR):group4Ideator,0.191,0.095,2.004,0.045,**
scale(totalStake):group4Control,-0.147,0.077,-1.899,0.058,*
scale(totalStake):group4Depression,-0.081,0.077,-1.051,0.293,
scale(totalStake):group4Ideator,-0.095,0.081,-1.164,0.245,
group4Control:scale(IRI_EMPATHETIC_CONCERN),0.326,0.525,0.621,0.535,
group4Depression:scale(IRI_EMPATHETIC_CONCERN),0.481,0.477,1.008,0.314,
group4Ideator:scale(IRI_EMPATHETIC_CONCERN),0.174,0.487,0.356,0.722,
ReappraisalDirectionempathy:scale(IRI_EMPATHETIC_CONCERN),0.145,0.246,0.589,0.556,
ReappraisalDirectionpunish:scale(IRI_EMPATHETIC_CONCERN),-0.047,0.238,-0.198,0.843,
ReappraisalDirectionempathy:scale(fairLR):scale(totalStake),0.148,0.085,1.733,0.083,*
ReappraisalDirectionpunish:scale(fairLR):scale(totalStake),0.079,0.077,1.028,0.304,
ReappraisalDirectionempathy:group4Control:scale(IRI_EMPATHETIC_CONCERN),0.384,0.407,0.942,0.346,
ReappraisalDirectionpunish:group4Control:scale(IRI_EMPATHETIC_CONCERN),-0.045,0.388,-0.117,0.907,
ReappraisalDirectionempathy:group4Depression:scale(IRI_EMPATHETIC_CONCERN),-0.324,0.372,-0.87,0.385,
ReappraisalDirectionpunish:group4Depression:scale(IRI_EMPATHETIC_CONCERN),-0.148,0.353,-0.419,0.675,
ReappraisalDirectionempathy:group4Ideator:scale(IRI_EMPATHETIC_CONCERN),-0.309,0.373,-0.829,0.407,
ReappraisalDirectionpunish:group4Ideator:scale(IRI_EMPATHETIC_CONCERN),-0.033,0.359,-0.093,0.926,
