,Estimate,Std. Error,z value,Pr(>|z|),
(Intercept),1.231,0.345,3.565,0,***
ReappraisalDirectionempathy,1.184,0.267,4.437,0,***
ReappraisalDirectionpunish,-1.653,0.258,-6.403,0,***
scale(fairLR),2.106,0.09,23.478,0,***
scale(totalStake),0.027,0.065,0.421,0.674,
group4Control,-0.004,0.541,-0.008,0.994,
group4Depression,0.884,0.516,1.713,0.087,*
group4Ideator,0.57,0.514,1.108,0.268,
scale(IncomePerCapita),-0.714,0.498,-1.433,0.152,
ReappraisalDirectionempathy:scale(fairLR),-1.278,0.098,-13.061,0,***
ReappraisalDirectionpunish:scale(fairLR),-1.251,0.089,-14.004,0,***
ReappraisalDirectionempathy:scale(totalStake),0.078,0.077,1.016,0.31,
ReappraisalDirectionpunish:scale(totalStake),0.191,0.069,2.768,0.006,***
scale(fairLR):scale(totalStake),-0.136,0.061,-2.254,0.024,**
ReappraisalDirectionempathy:group4Control,0.6,0.423,1.418,0.156,
ReappraisalDirectionpunish:group4Control,0.223,0.404,0.552,0.581,
ReappraisalDirectionempathy:group4Depression,-0.13,0.421,-0.309,0.758,
ReappraisalDirectionpunish:group4Depression,-0.184,0.388,-0.475,0.635,
ReappraisalDirectionempathy:group4Ideator,0.443,0.407,1.087,0.277,
ReappraisalDirectionpunish:group4Ideator,-0.198,0.386,-0.513,0.608,
scale(fairLR):group4Control,0.08,0.089,0.906,0.365,
scale(fairLR):group4Depression,-0.168,0.086,-1.956,0.05,**
scale(fairLR):group4Ideator,0.118,0.093,1.271,0.204,
scale(totalStake):group4Control,-0.147,0.077,-1.908,0.056,
scale(totalStake):group4Depression,-0.087,0.077,-1.127,0.26,
scale(totalStake):group4Ideator,-0.06,0.08,-0.753,0.451,
ReappraisalDirectionempathy:scale(IncomePerCapita),0.937,0.383,2.446,0.014,**
ReappraisalDirectionpunish:scale(IncomePerCapita),0.521,0.373,1.397,0.163,
group4Control:scale(IncomePerCapita),1.07,0.593,1.804,0.071,*
group4Depression:scale(IncomePerCapita),0.704,0.658,1.07,0.285,
group4Ideator:scale(IncomePerCapita),0.578,0.613,0.943,0.346,
ReappraisalDirectionempathy:scale(fairLR):scale(totalStake),0.155,0.085,1.822,0.068,*
ReappraisalDirectionpunish:scale(fairLR):scale(totalStake),0.07,0.076,0.923,0.356,
ReappraisalDirectionempathy:group4Control:scale(IncomePerCapita),-0.979,0.469,-2.089,0.037,**
ReappraisalDirectionpunish:group4Control:scale(IncomePerCapita),-0.812,0.445,-1.825,0.068,*
ReappraisalDirectionempathy:group4Depression:scale(IncomePerCapita),0.003,0.56,0.005,0.996,
ReappraisalDirectionpunish:group4Depression:scale(IncomePerCapita),-0.576,0.494,-1.165,0.244,
ReappraisalDirectionempathy:group4Ideator:scale(IncomePerCapita),-0.977,0.493,-1.984,0.047,**
ReappraisalDirectionpunish:group4Ideator:scale(IncomePerCapita),-0.312,0.468,-0.666,0.505,
