id,Trial_Number,Fairness_score,PlayerProposedAmount,OpponentProposedAmount,TotalAmountAtStake,Gender,StimulusCentre,StakeImg,ReappraisalText,ReappraisalDirection,PunishingType,Stimuli_OnsetTime,Stimuli_RTTime,Stimuli_RT,Stimuli_RESP,AcceptOffer
115105,1,4,2,8,10,f,Sharon.jpg,pieFS4.bmp,Sharon cannot afford to send her son to college.,2,na,44329,54798,10469,q,1
115105,2,4,4,16,20,m,Sam.jpg,pieFS4.bmp,Sam lost his house in a fire,2,na,67003,70811,3808,q,1
115105,3,1,5,5,10,f,Emma.jpg,pieFS1.bmp,Emma regularly fires employees to avoid promoting them.,1,reputation,83005,85491,2486,q,1
115105,4,3,3,7,10,m,Edward.jpg,pieFS3.bmp,Edward bullies his employees to put in extra hours at work.,1,reputation,97702,103692,5990,p,0
115105,5,3,3,7,10,f,Janet.jpg,pieFS3.bmp,Janet secretly gambles with her husband's savings.,1,reputation,115895,117103,1208,p,0
115105,6,5,2,18,20,m,Daniel.jpg,pieFS5.bmp,Daniel just lost his job,2,na,129288,132514,3226,q,1
115105,7,4,4,16,20,f,Trish.jpg,pieFS4.bmp,Trish claims false expenses for her reportable work travel.,1,reputation,144688,149801,5113,p,0
115105,8,1,9,9,18,m,Nick.jpg,pieFS1.bmp,Nick just found $50 on the street,1,resources,161994,164252,2258,q,1
115105,9,2,7,10,17,f,Cindy.jpg,pieFS2.bmp,Cindy's car with her bag and credit cards was recently stolen.,2,na,176458,180044,3586,q,1
115105,10,3,4,9,13,m,Joe.jpg,pieFS3.bmp,Joe employs illegal immigrants and pays them less than minimum wage.,1,reputation,192242,194406,2164,p,0
115105,11,5,1,9,10,f,Deborah.jpg,pieFS5.bmp,Deborah just found out that her husband has incurred a large credit card debt.,2,na,206606,209424,2818,p,0
115105,12,5,1,9,10,f,Jenny.jpg,pieFS5.bmp,Jenny is a highly paid actress,1,resources,221604,224831,3227,p,0
115105,13,3,6,14,20,m,Justin.jpg,pieFS3.bmp,Justin could not afford his mortgage and his home was foreclosed.,2,na,237038,239179,2141,q,1
115105,14,2,6,9,15,m,Mark.jpg,pieFS2.bmp,Mark is homeless,2,na,251351,255454,4103,q,1
115105,15,5,1,9,10,m,Ben.jpg,pieFS5.bmp,Ben is saving to pay his university fees,2,na,267654,273453,5799,q,1
115105,16,4,1,4,5,f,Mary.jpg,pieFS4.bmp,Mary works as a cleaner in a hotel,2,na,285645,290928,5283,q,1
115105,17,4,4,16,20,f,Miriam.jpg,pieFS4.bmp,Miriam's husband is a wealthy investment banker,1,resources,303118,305626,2508,p,0
115105,18,3,4,9,13,m,Darnell.jpg,pieFS3.bmp,Darnell lives in a luxury penthouse apartment,1,resources,317816,320626,2810,q,1
115105,19,3,3,7,10,f,Beth.jpg,pieFS3.bmp,Beth can't afford to pay her medical bills,2,na,332831,334820,1989,q,1
115105,20,5,1,9,10,f,Joanna.jpg,pieFS5.bmp,Joanna has to take an unpaid leave of absence because her mother broke her hip.,2,na,347011,349913,2902,p,0
115105,21,2,3,4,7,f,Kelly.jpg,pieFS2.bmp,Kelly got a large cash bonus from her boss,1,resources,362093,364030,1937,q,1
115105,22,4,3,12,15,m,Saul.jpg,pieFS4.bmp,Saul stole money from his mother's wallet.,1,reputation,376222,378393,2171,p,0
115105,23,1,10,10,20,f,Marny.jpg,pieFS1.bmp,Marny was a victim of identity theft and is now thousands of dollars in debt.,2,na,390602,394049,3447,q,1
115105,24,4,3,12,15,f,Maria.jpg,pieFS4.bmp,Maria works two waitressing jobs to pay her bills.,2,na,406253,408092,1839,q,1
115105,25,3,2,4,6,f,Eileen.jpg,pieFS3.bmp,Eileen just received a huge cash settlement,1,resources,420282,421967,1685,q,1
115105,26,3,2,4,6,f,Arianna.jpg,pieFS3.bmp,Arianna is going to be evicted because she is behind on her rent,2,na,434177,436591,2414,q,1
115105,27,4,3,12,15,f,Fiona.jpg,pieFS4.bmp,Fiona owns an international company,1,resources,448791,453858,5067,p,0
115105,28,4,2,8,10,f,Sammy.jpg,pieFS4.bmp,Sammy takes discarded food from grocery stores to feed her children.,2,na,466047,468483,2436,q,1
115105,29,2,6,9,15,m,Alan.jpg,pieFS2.bmp,Alan is hiding his taxable income in Switzerland.,1,reputation,480677,482582,1905,q,1
115105,30,4,1,4,5,m,Stuart.jpg,pieFS4.bmp,Stuart lost his life savings when his small business failed,2,na,494773,499158,4385,p,0
115105,31,5,2,18,20,m,Peter.jpg,pieFS5.bmp,Peter cheated on his taxes and is now under investigation for tax fraud.,1,reputation,511360,514438,3078,p,0
115105,32,4,3,12,15,m,Jack.jpg,pieFS4.bmp,Jack is a veteran having trouble finding employment.,2,na,526660,528912,2252,q,1
115105,33,2,8,12,20,f,Kay.jpg,pieFS2.bmp,Kay received a large inheritance from a distant relative,1,resources,541107,542843,1736,q,1
115105,34,4,1,4,5,m,Taymar.jpg,pieFS4.bmp,Taymar underreports his company's earnings and pockets the profits.,1,reputation,555035,557523,2488,p,0
115105,35,5,1,9,10,f,Emily.jpg,pieFS5.bmp,Emily steals her coworkers' tips to buy alcohol.,1,reputation,569716,570536,820,p,0
115105,36,3,4,9,13,m,Ian.jpg,pieFS3.bmp,Ian stole his elderly father's prescription medications.,1,reputation,582725,585287,2562,p,0
115105,37,1,8,8,16,m,Kevin.jpg,pieFS1.bmp,Kevin declared bankruptcy after he was laid off.,2,na,597456,599166,1710,q,1
115105,38,5,2,18,20,m,Tony.jpg,pieFS5.bmp,Tony takes valuables from his friends' homes when asked to house-sit.,1,reputation,611368,616115,4747,p,0
115105,39,3,2,4,6,f,Louise.jpg,pieFS3.bmp,Louise is a single mother,2,na,628306,629839,1533,q,1
115105,40,5,2,18,20,f,Fay.jpg,pieFS5.bmp,Fay just won the lottery,1,resources,642017,643541,1524,p,0
115105,41,5,2,18,20,m,Don.jpg,pieFS5.bmp,Don was injured in a hit-and-run accident and cannot afford his medical bills.,2,na,655745,658901,3156,q,1
115105,42,4,2,8,10,m,George.jpg,pieFS4.bmp,George is a well paid lawyer,1,resources,671095,673527,2432,p,0
115105,43,5,1,9,10,m,Michael.jpg,pieFS5.bmp,Michael was mugged and had his wallet stolen.,2,na,685726,687681,1955,p,0
115105,44,5,1,9,10,f,Jackie.jpg,pieFS5.bmp,Jackie just lost her small business after a franchise moved in next door.,2,na,699871,701701,1830,p,0
115105,45,3,6,14,20,m,Paul.jpg,pieFS3.bmp,Paul is a retiree,2,na,713917,716011,2094,q,1
115105,46,3,5,11,16,f,Lauren.jpg,pieFS3.bmp,Lauren used her mother's social security number to open a credit card account.,1,reputation,728230,731761,3531,q,1
115105,47,3,2,4,6,f,Monica.jpg,pieFS3.bmp,Monica is raising money to buy gifts for children in need.,2,na,743981,746104,2123,q,1
115105,48,4,2,8,10,m,Jared.jpg,pieFS4.bmp,Jared just bought an expensive sports car,1,resources,758294,761980,3686,p,0
115105,49,5,1,9,10,f,Jean.jpg,pieFS5.bmp,Jean illegally parks in the disabled parking spots when she can.,1,reputation,774196,775766,1570,p,0
115105,50,5,1,9,10,m,Matt.jpg,pieFS5.bmp,Matt often goes through and steals the neighbors' mail.,1,reputation,787957,789416,1459,p,0
115105,51,2,3,4,7,m,Ricky.jpg,pieFS2.bmp,Ricky is saving for his son's operation,2,na,801635,802783,1148,q,1
115105,52,3,5,11,16,m,Brad.jpg,pieFS3.bmp,Brad has been unable to find a job for over a year.,2,na,814978,816409,1431,q,1
115251,1,3,4,9,13,m,Taymar.jpg,pieFS3.bmp,Taymar is a well paid lawyer,1,resources,41262,46631,5369,q,1
115251,2,5,1,9,10,f,Miriam.jpg,pieFS5.bmp,Miriam secretly gambles with her husband's savings.,1,reputation,58909,61531,2622,p,0
115251,3,1,10,10,20,f,Eileen.jpg,pieFS1.bmp,Eileen works two waitressing jobs to pay her bills.,2,na,73809,75611,1802,q,1
115251,4,1,5,5,10,f,Trish.jpg,pieFS1.bmp,Trish claims false expenses for her reportable work travel.,1,reputation,87876,92331,4455,q,1
115251,5,2,6,9,15,m,George.jpg,pieFS2.bmp,George is a retiree,2,na,104574,108731,4157,q,1
115251,6,4,2,8,10,m,Justin.jpg,pieFS4.bmp,Justin just bought an expensive sports car,1,resources,120956,122951,1995,p,0
115251,7,4,3,12,15,f,Joanna.jpg,pieFS4.bmp,Joanna just received a huge cash settlement,1,resources,135173,137591,2418,q,1
115251,8,3,6,14,20,m,Nick.jpg,pieFS3.bmp,Nick is homeless,2,na,149840,150511,671,p,0
115251,9,3,3,7,10,f,Janet.jpg,pieFS3.bmp,Janet works as a cleaner in a hotel,2,na,162759,165771,3012,q,1
115251,10,5,2,18,20,m,Brad.jpg,pieFS5.bmp,Brad is saving to pay his university fees,2,na,178025,184671,6646,q,1
115251,11,3,4,9,13,m,Peter.jpg,pieFS3.bmp,Peter lives in a luxury penthouse apartment,1,resources,196937,201371,4434,q,1
115251,12,5,1,9,10,f,Deborah.jpg,pieFS5.bmp,Deborah takes discarded food from grocery stores to feed her children.,2,na,213635,215951,2316,q,1
115251,13,2,3,4,7,m,Alan.jpg,pieFS2.bmp,Alan is saving for his son's operation,2,na,228202,229211,1009,q,1
115251,14,3,2,4,6,f,Marny.jpg,pieFS3.bmp,Marny steals her coworkers' tips to buy alcohol.,1,reputation,241487,242211,724,p,0
115251,15,3,2,4,6,f,Emily.jpg,pieFS3.bmp,Emily just lost her small business after a franchise moved in next door.,2,na,254489,257232,2743,q,1
115251,16,5,1,9,10,m,Jared.jpg,pieFS5.bmp,Jared bullies his employees to put in extra hours at work.,1,reputation,269522,270331,809,p,0
115251,17,4,4,16,20,f,Fay.jpg,pieFS4.bmp,Fay's husband is a wealthy investment banker,1,resources,282607,282872,265,q,1
115251,18,3,3,7,10,f,Monica.jpg,pieFS3.bmp,Monica used her mother's social security number to open a credit card account.,1,reputation,295143,296951,1808,p,0
115251,19,4,1,4,5,m,Don.jpg,pieFS4.bmp,Don stole money from his mother's wallet.,1,reputation,309211,316832,7621,p,0
115251,20,4,1,4,5,f,Lauren.jpg,pieFS4.bmp,Lauren is raising money to buy gifts for children in need.,2,na,329088,329752,664,q,1
115251,21,5,2,18,20,m,Daniel.jpg,pieFS5.bmp,Daniel just lost his job,2,na,342007,350752,8745,p,0
115251,22,2,3,4,7,f,Jean.jpg,pieFS2.bmp,Jean illegally parks in the disabled parking spots when she can.,1,reputation,363050,364952,1902,q,1
115251,23,4,2,8,10,f,Beth.jpg,pieFS4.bmp,Beth can't afford to pay her medical bills,2,na,377201,377272,71,p,0
115251,24,4,3,12,15,m,Tony.jpg,pieFS4.bmp,Tony lost his life savings when his small business failed,2,na,389504,391672,2168,q,1
115251,25,3,3,7,10,m,Sam.jpg,pieFS3.bmp,Sam cheated on his taxes and is now under investigation for tax fraud.,1,reputation,403904,405672,1768,p,0
115251,26,4,3,12,15,f,Arianna.jpg,pieFS4.bmp,Arianna is going to be evicted because she is behind on her rent,2,na,417905,422452,4547,q,1
115251,27,5,1,9,10,f,Fiona.jpg,pieFS5.bmp,Fiona owns an international company,1,resources,434703,437612,2909,q,1
115251,28,4,4,16,20,m,Matt.jpg,pieFS4.bmp,Matt is a veteran having trouble finding employment.,2,na,449869,453992,4123,q,1
115251,29,3,2,4,6,f,Kelly.jpg,pieFS3.bmp,Kelly's car with her bag and credit cards was recently stolen.,2,na,466267,468352,2085,p,0
115251,30,3,5,11,16,f,Emma.jpg,pieFS3.bmp,Emma received a large inheritance from a distant relative,1,resources,480601,481312,711,q,1
115251,31,2,6,9,15,m,Darnell.jpg,pieFS2.bmp,Darnell stole his elderly father's prescription medications.,1,reputation,493603,495092,1489,p,0
115251,32,1,8,8,16,m,Saul.jpg,pieFS1.bmp,Saul declared bankruptcy after he was laid off.,2,na,507371,509392,2021,q,1
115251,33,4,2,8,10,f,Maria.jpg,pieFS4.bmp,Maria just found out that her husband has incurred a large credit card debt.,2,na,521672,523892,2220,q,1
115251,34,4,3,12,15,m,Michael.jpg,pieFS4.bmp,Michael takes valuables from his friends' homes when asked to house-sit.,1,reputation,536172,537472,1300,p,0
115251,35,5,1,9,10,m,Ian.jpg,pieFS5.bmp,Ian was injured in a hit-and-run accident and cannot afford his medical bills.,2,na,549740,550272,532,q,1
115251,36,4,1,4,5,m,Mark.jpg,pieFS4.bmp,Mark was mugged and had his wallet stolen.,2,na,562543,567232,4689,q,1
115251,37,5,2,18,20,m,Paul.jpg,pieFS5.bmp,Paul employs illegal immigrants and pays them less than minimum wage.,1,reputation,579507,582752,3245,q,1
115251,38,2,8,12,20,f,Cindy.jpg,pieFS2.bmp,Cindy is a highly paid actress,1,resources,595006,598072,3066,q,1
115251,39,5,1,9,10,f,Jenny.jpg,pieFS5.bmp,Jenny has to take an unpaid leave of absence because her mother broke her hip.,2,na,610355,612112,1757,q,1
115251,40,1,9,9,18,m,Ben.jpg,pieFS1.bmp,Ben often goes through and steals the neighbors' mail.,1,reputation,624373,625192,819,p,0
115251,41,3,5,11,16,m,Edward.jpg,pieFS3.bmp,Edward could not afford his mortgage and his home was foreclosed.,2,na,637442,638552,1110,q,1
115251,42,3,6,14,20,m,Jack.jpg,pieFS3.bmp,Jack has been unable to find a job for over a year.,2,na,650793,651092,299,q,1
115251,43,3,4,9,13,m,Ricky.jpg,pieFS3.bmp,Ricky is hiding his taxable income in Switzerland.,1,reputation,663346,668093,4747,p,0
115251,44,5,2,18,20,f,Jackie.jpg,pieFS5.bmp,Jackie got a large cash bonus from her boss,1,resources,680343,681353,1010,p,0
115251,45,3,2,4,6,f,Sharon.jpg,pieFS3.bmp,Sharon is a single mother,2,na,693612,699913,6301,q,1
115251,46,5,1,9,10,m,Kevin.jpg,pieFS5.bmp,Kevin lost his house in a fire,2,na,712191,712893,702,q,1
115251,47,5,2,18,20,m,Stuart.jpg,pieFS5.bmp,Stuart just found $50 on the street,1,resources,725143,727753,2610,q,1
115251,48,4,4,16,20,f,Louise.jpg,pieFS4.bmp,Louise just won the lottery,1,resources,740026,743353,3327,p,0
115251,49,5,1,9,10,f,Kay.jpg,pieFS5.bmp,Kay cannot afford to send her son to college.,2,na,755625,757133,1508,q,1
115251,50,4,2,8,10,m,Joe.jpg,pieFS4.bmp,Joe underreports his company's earnings and pockets the profits.,1,reputation,769410,770973,1563,p,0
115251,51,2,7,10,17,f,Sammy.jpg,pieFS2.bmp,Sammy was a victim of identity theft and is now thousands of dollars in debt.,2,na,783244,784573,1329,q,1
115251,52,5,1,9,10,f,Mary.jpg,pieFS5.bmp,Mary regularly fires employees to avoid promoting them.,1,reputation,796846,798333,1487,p,0
115300,1,2,6,9,15,m,Mark.jpg,pieFS2.bmp,Mark is saving to pay his university fees,2,na,124637,142879,18242,q,1
115300,2,4,4,16,20,f,Monica.jpg,pieFS4.bmp,Monica illegally parks in the disabled parking spots when she can.,1,reputation,155069,161939,6870,q,1
115300,3,3,2,4,6,f,Joanna.jpg,pieFS3.bmp,Joanna's car with her bag and credit cards was recently stolen.,2,na,174131,177779,3648,p,0
115300,4,2,6,9,15,m,Brad.jpg,pieFS2.bmp,Brad lives in a luxury penthouse apartment,1,resources,189980,192839,2859,q,1
115300,5,4,2,8,10,m,Saul.jpg,pieFS4.bmp,Saul stole money from his mother's wallet.,1,reputation,205030,208779,3749,p,0
115300,6,4,2,8,10,m,Edward.jpg,pieFS4.bmp,Edward underreports his company's earnings and pockets the profits.,1,reputation,220978,223419,2441,p,0
115300,7,5,1,9,10,f,Jenny.jpg,pieFS5.bmp,Jenny just found out that her husband has incurred a large credit card debt.,2,na,235612,237439,1827,q,1
115300,8,5,2,18,20,f,Arianna.jpg,pieFS5.bmp,Arianna claims false expenses for her reportable work travel.,1,reputation,249629,252539,2910,q,1
115300,9,4,3,12,15,f,Kelly.jpg,pieFS4.bmp,Kelly is a highly paid actress,1,resources,264729,272879,8150,q,1
115300,10,3,5,11,16,m,Darnell.jpg,pieFS3.bmp,Darnell lost his life savings when his small business failed,2,na,285073,287159,2086,p,0
115300,11,4,3,12,15,m,Matt.jpg,pieFS4.bmp,Matt cheated on his taxes and is now under investigation for tax fraud.,1,reputation,299340,303079,3739,p,0
115300,12,4,1,4,5,f,Jean.jpg,pieFS4.bmp,Jean has to take an unpaid leave of absence because her mother broke her hip.,2,na,315256,317939,2683,q,1
115300,13,2,3,4,7,m,Nick.jpg,pieFS2.bmp,Nick is a veteran having trouble finding employment.,2,na,330139,333339,3200,p,0
115300,14,5,2,18,20,m,Peter.jpg,pieFS5.bmp,Peter stole his elderly father's prescription medications.,1,reputation,345505,350440,4935,p,0
115300,15,4,4,16,20,f,Lauren.jpg,pieFS4.bmp,Lauren got a large cash bonus from her boss,1,resources,362602,367520,4918,q,1
115300,16,5,1,9,10,f,Eileen.jpg,pieFS5.bmp,Eileen was a victim of identity theft and is now thousands of dollars in debt.,2,na,379683,381840,2157,q,1
115300,17,3,3,7,10,f,Miriam.jpg,pieFS3.bmp,Miriam works as a cleaner in a hotel,2,na,394000,400000,6000,p,0
115300,18,1,5,5,10,f,Kay.jpg,pieFS1.bmp,Kay's husband is a wealthy investment banker,1,resources,412163,415860,3697,q,1
115300,19,4,3,12,15,m,Michael.jpg,pieFS4.bmp,Michael declared bankruptcy after he was laid off.,2,na,428012,432620,4608,q,1
115300,20,1,10,10,20,f,Beth.jpg,pieFS1.bmp,Beth can't afford to pay her medical bills,2,na,444777,447720,2943,q,1
115300,21,5,1,9,10,m,Joe.jpg,pieFS5.bmp,Joe is a well paid lawyer,1,resources,459876,467200,7324,p,0
115300,22,3,2,4,6,f,Janet.jpg,pieFS3.bmp,Janet is going to be evicted because she is behind on her rent,2,na,479355,481500,2145,q,1
115300,23,3,4,9,13,m,Tony.jpg,pieFS3.bmp,Tony takes valuables from his friends' homes when asked to house-sit.,1,reputation,493672,495560,1888,q,1
115300,24,4,3,12,15,f,Jackie.jpg,pieFS4.bmp,Jackie works two waitressing jobs to pay her bills.,2,na,507723,511840,4117,q,1
115300,25,3,3,7,10,f,Fiona.jpg,pieFS3.bmp,Fiona owns an international company,1,resources,523988,526840,2852,q,1
115300,26,5,1,9,10,f,Emma.jpg,pieFS5.bmp,Emma received a large inheritance from a distant relative,1,resources,538987,541360,2373,p,0
115300,27,2,3,4,7,f,Maria.jpg,pieFS2.bmp,Maria just received a huge cash settlement,1,resources,553521,556080,2559,q,1
115300,28,5,2,18,20,m,Jack.jpg,pieFS5.bmp,Jack was injured in a hit-and-run accident and cannot afford his medical bills.,2,na,568255,571120,2865,p,0
115300,29,3,2,4,6,f,Marny.jpg,pieFS3.bmp,Marny takes discarded food from grocery stores to feed her children.,2,na,583288,585380,2092,q,1
115300,30,4,4,16,20,m,Kevin.jpg,pieFS4.bmp,Kevin was mugged and had his wallet stolen.,2,na,597572,601041,3469,q,1
115300,31,1,9,9,18,m,Ben.jpg,pieFS1.bmp,Ben often goes through and steals the neighbors' mail.,1,reputation,613221,615840,2619,q,1
115300,32,5,2,18,20,m,Ian.jpg,pieFS5.bmp,Ian has been unable to find a job for over a year.,2,na,627987,632340,4353,p,0
115300,33,3,2,4,6,f,Cindy.jpg,pieFS3.bmp,Cindy steals her coworkers' tips to buy alcohol.,1,reputation,644502,646440,1938,q,1
115300,34,4,1,4,5,m,Justin.jpg,pieFS4.bmp,Justin is a retiree,2,na,658603,664421,5818,q,1
115300,35,3,4,9,13,m,Jared.jpg,pieFS3.bmp,Jared just bought an expensive sports car,1,resources,676599,681861,5262,q,1
115300,36,4,2,8,10,f,Sammy.jpg,pieFS4.bmp,Sammy just lost her small business after a franchise moved in next door.,2,na,694046,696440,2394,p,0
